Class: wall, Score: 0.73, Coordinates: ymin=341.6609025001526, xmin=441.5702551603317, ymax=341.6609025001526, xmax=467.5170707702637, Width: width=930, Height: height=610, Position: x=454.5436629652977, y=341.6609025001526, Rotation: r=1, Size: l=25.946815609931946, w=9.195657968521118
Class: door, Score: 0.72, Coordinates: ymin=225.8289858698845, xmin=514.1531682014465, ymax=287.4921491742134, xmax=514.1531682014465, Width: width=930, Height: height=610, Position: x=514.1531682014465, y=256.66056752204895, Rotation: r=0, Size: l=61.66316330432892, w=51.402390003204346
Class: wall, Score: 0.70, Coordinates: ymin=322.84826040267944, xmin=638.2934600114822, ymax=430.7916736602783, xmax=638.2934600114822, Width: width=930, Height: height=610, Position: x=638.2934600114822, y=376.8199670314789, Rotation: r=0, Size: l=107.94341325759888, w=11.408747434616089
Class: window, Score: 0.69, Coordinates: ymin=271.1816492676735, xmin=763.7318104505539, ymax=375.8024650812149, xmax=763.7318104505539, Width: width=930, Height: height=610, Position: x=763.7318104505539, y=323.4920571744442, Rotation: r=0, Size: l=104.62081581354141, w=13.108080625534058
Class: wall, Score: 0.66, Coordinates: ymin=366.184099316597, xmin=762.1517676115036, ymax=438.90452921390533, xmax=762.1517676115036, Width: width=930, Height: height=610, Position: x=762.1517676115036, y=402.54431426525116, Rotation: r=0, Size: l=72.72042989730835, w=10.984246730804443
Class: window, Score: 0.64, Coordinates: ymin=154.45152401924133, xmin=764.3995481729507, ymax=266.5480977296829, xmax=764.3995481729507, Width: width=930, Height: height=610, Position: x=764.3995481729507, y=210.49981087446213, Rotation: r=0, Size: l=112.09657371044159, w=12.541894912719727
Class: wall, Score: 0.63, Coordinates: ymin=427.237052321434, xmin=518.8621437549591, ymax=427.237052321434, xmax=664.6113395690918, Width: width=930, Height: height=610, Position: x=591.7367416620255, y=427.237052321434, Rotation: r=1, Size: l=145.7491958141327, w=10.525518655776978
Class: wall, Score: 0.60, Coordinates: ymin=327.8804683685303, xmin=545.3090143203735, ymax=433.2763636112213, xmax=545.3090143203735, Width: width=930, Height: height=610, Position: x=545.3090143203735, y=380.5784159898758, Rotation: r=0, Size: l=105.39589524269104, w=9.60486888885498
Class: wall, Score: 0.60, Coordinates: ymin=95.07235899567604, xmin=766.2853002548218, ymax=170.52247375249863, xmax=766.2853002548218, Width: width=930, Height: height=610, Position: x=766.2853002548218, y=132.79741637408733, Rotation: r=0, Size: l=75.45011475682259, w=10.410854816436768
Class: wall, Score: 0.55, Coordinates: ymin=110.76232269406319, xmin=248.42944711446762, ymax=110.76232269406319, xmax=424.1850444674492, Width: width=930, Height: height=610, Position: x=336.3072457909584, y=110.76232269406319, Rotation: r=1, Size: l=175.75559735298157, w=12.752642631530762
Class: door, Score: 0.54, Coordinates: ymin=259.4789770245552, xmin=356.40495389699936, ymax=316.49371802806854, xmax=356.40495389699936, Width: width=930, Height: height=610, Position: x=356.40495389699936, y=287.9863475263119, Rotation: r=0, Size: l=57.014741003513336, w=45.06608784198761
Class: wall, Score: 0.54, Coordinates: ymin=106.2250129878521, xmin=638.5394132137299, ymax=214.1637086868286, xmax=638.5394132137299, Width: width=930, Height: height=610, Position: x=638.5394132137299, y=160.19436083734035, Rotation: r=0, Size: l=107.93869569897652, w=10.824047327041626
Class: door, Score: 0.53, Coordinates: ymin=235.52661389112473, xmin=627.0061093568802, ymax=235.52661389112473, xmax=686.0537248849869, Width: width=930, Height: height=610, Position: x=656.5299171209335, y=235.52661389112473, Rotation: r=1, Size: l=59.04761552810669, w=53.81401836872101
Class: door, Score: 0.53, Coordinates: ymin=302.1948432922363, xmin=260.2127230167389, ymax=302.1948432922363, xmax=308.87315332889557, Width: width=930, Height: height=610, Position: x=284.54293817281723, y=302.1948432922363, Rotation: r=1, Size: l=48.66043031215668, w=46.09347462654114
Class: door, Score: 0.49, Coordinates: ymin=277.30943977832794, xmin=658.0544167757034, ymax=327.2529149055481, xmax=658.0544167757034, Width: width=930, Height: height=610, Position: x=658.0544167757034, y=302.281177341938, Rotation: r=0, Size: l=49.943475127220154, w=48.377448320388794
Class: wall, Score: 0.49, Coordinates: ymin=48.89952212572098, xmin=546.465055346489, ymax=245.5908116698265, xmax=546.465055346489, Width: width=930, Height: height=610, Position: x=546.465055346489, y=147.24516689777374, Rotation: r=0, Size: l=196.69128954410553, w=11.04832649230957
Class: window, Score: 0.48, Coordinates: ymin=351.6342759132385, xmin=265.52879333496094, ymax=434.38981652259827, xmax=265.52879333496094, Width: width=930, Height: height=610, Position: x=265.52879333496094, y=393.0120462179184, Rotation: r=0, Size: l=82.75554060935974, w=12.616894841194153
Class: window, Score: 0.47, Coordinates: ymin=469.0649086236954, xmin=336.3267856836319, ymax=469.0649086236954, xmax=404.1637498140335, Width: width=930, Height: height=610, Position: x=370.2452677488327, y=469.0649086236954, Rotation: r=1, Size: l=67.83696413040161, w=12.436102628707886
Class: wall, Score: 0.45, Coordinates: ymin=270.11988043785095, xmin=647.3860788345337, ymax=270.11988043785095, xmax=771.7846298217773, Width: width=930, Height: height=610, Position: x=709.5853543281555, y=270.11988043785095, Rotation: r=1, Size: l=124.39855098724365, w=13.153026103973389
Class: window, Score: 0.45, Coordinates: ymin=58.66791807115078, xmin=441.5800666809082, ymax=58.66791807115078, xmax=486.386176943779, Width: width=930, Height: height=610, Position: x=463.9831218123436, y=58.66791807115078, Rotation: r=1, Size: l=44.80611026287079, w=12.922865599393845
Class: wall, Score: 0.44, Coordinates: ymin=48.69840323925018, xmin=405.8369743824005, ymax=274.1194611787796, xmax=405.8369743824005, Width: width=930, Height: height=610, Position: x=405.8369743824005, y=161.4089322090149, Rotation: r=0, Size: l=225.42105793952942, w=10.918115973472595
Class: wall, Score: 0.39, Coordinates: ymin=250.6100758910179, xmin=258.6913275718689, ymax=281.8407502770424, xmax=258.6913275718689, Width: width=930, Height: height=610, Position: x=258.6913275718689, y=266.22541308403015, Rotation: r=0, Size: l=31.230674386024475, w=8.61451506614685
Class: window, Score: 0.39, Coordinates: ymin=153.71036738157272, xmin=264.72871094942093, ymax=268.34835082292557, xmax=264.72871094942093, Width: width=930, Height: height=610, Position: x=264.72871094942093, y=211.02935910224915, Rotation: r=0, Size: l=114.63798344135284, w=11.645166277885437
Class: wall, Score: 0.39, Coordinates: ymin=323.8931769132614, xmin=618.231173157692, ymax=323.8931769132614, xmax=642.4658507108688, Width: width=930, Height: height=610, Position: x=630.3485119342804, y=323.8931769132614, Rotation: r=1, Size: l=24.23467755317688, w=10.25311827659607
Class: wall, Score: 0.37, Coordinates: ymin=341.1046487092972, xmin=448.21622997522354, ymax=341.1046487092972, xmax=478.2994329929352, Width: width=930, Height: height=610, Position: x=463.25783148407936, y=341.1046487092972, Rotation: r=1, Size: l=30.08320301771164, w=10.46727180480957
Class: wall, Score: 0.37, Coordinates: ymin=242.48625814914703, xmin=636.9301021099091, ymax=281.9876581430435, xmax=636.9301021099091, Width: width=930, Height: height=610, Position: x=636.9301021099091, y=262.2369581460953, Rotation: r=0, Size: l=39.501399993896484, w=9.842230081558228
Class: wall, Score: 0.36, Coordinates: ymin=420.2069991827011, xmin=264.7045424580574, ymax=482.1777218580246, xmax=264.7045424580574, Width: width=930, Height: height=610, Position: x=264.7045424580574, y=451.19236052036285, Rotation: r=0, Size: l=61.970722675323486, w=10.489735007286072
Class: wall, Score: 0.35, Coordinates: ymin=419.0477705001831, xmin=443.1347492337227, ymax=419.0477705001831, xmax=477.6750433444977, Width: width=930, Height: height=610, Position: x=460.4048962891102, y=419.0477705001831, Rotation: r=1, Size: l=34.540294110774994, w=13.2283616065979
Class: window, Score: 0.35, Coordinates: ymin=60.443547144532204, xmin=408.3316504955292, ymax=60.443547144532204, xmax=467.02704906463623, Width: width=930, Height: height=610, Position: x=437.6793497800827, y=60.443547144532204, Rotation: r=1, Size: l=58.695398569107056, w=11.311114877462387
Class: wall, Score: 0.35, Coordinates: ymin=111.77865207195282, xmin=533.9012092351913, ymax=111.77865207195282, xmax=757.4470049142838, Width: width=930, Height: height=610, Position: x=645.6741070747375, y=111.77865207195282, Rotation: r=1, Size: l=223.5457956790924, w=11.090734899044037
Class: wall, Score: 0.35, Coordinates: ymin=324.78931307792664, xmin=542.7339059114456, ymax=430.2995204925537, xmax=542.7339059114456, Width: width=930, Height: height=610, Position: x=542.7339059114456, y=377.5444167852402, Rotation: r=0, Size: l=105.51020741462708, w=9.506421089172363
Class: window, Score: 0.34, Coordinates: ymin=424.63459610939026, xmin=463.5988926887512, ymax=424.63459610939026, xmax=506.3308918476105, Width: width=930, Height: height=610, Position: x=484.96489226818085, y=424.63459610939026, Rotation: r=1, Size: l=42.73199915885925, w=13.274755477905273
Class: wall, Score: 0.34, Coordinates: ymin=414.8509430885315, xmin=445.3472748398781, ymax=414.8509430885315, xmax=473.2848036289215, Width: width=930, Height: height=610, Position: x=459.3160392343998, y=414.8509430885315, Rotation: r=1, Size: l=27.937528789043427, w=22.48939275741577
Class: window, Score: 0.33, Coordinates: ymin=59.4586181640625, xmin=420.5586066842079, ymax=59.4586181640625, xmax=479.47792410850525, Width: width=930, Height: height=610, Position: x=450.0182653963566, y=59.4586181640625, Rotation: r=1, Size: l=58.91931742429733, w=10.104147046804428
Class: window, Score: 0.33, Coordinates: ymin=330.9906393289566, xmin=426.3801920413971, ymax=330.9906393289566, xmax=460.1160800457001, Width: width=930, Height: height=610, Position: x=443.2481360435486, y=330.9906393289566, Rotation: r=1, Size: l=33.73588800430298, w=13.372124433517456
Class: wall, Score: 0.33, Coordinates: ymin=270.464671254158, xmin=251.49305284023285, ymax=270.464671254158, xmax=326.27230525016785, Width: width=930, Height: height=610, Position: x=288.88267904520035, y=270.464671254158, Rotation: r=1, Size: l=74.779252409935, w=11.210082769393921
Class: window, Score: 0.32, Coordinates: ymin=427.2433787584305, xmin=659.8830735683441, ymax=427.2433787584305, xmax=730.0859999656677, Width: width=930, Height: height=610, Position: x=694.9845367670059, y=427.2433787584305, Rotation: r=1, Size: l=70.20292639732361, w=10.343070030212402
Class: wall, Score: 0.32, Coordinates: ymin=326.0449653863907, xmin=454.8421382904053, ymax=478.03485095500946, xmax=454.8421382904053, Width: width=930, Height: height=610, Position: x=454.8421382904053, y=402.0399081707001, Rotation: r=0, Size: l=151.98988556861877, w=10.927484035491943
Class: wall, Score: 0.31, Coordinates: ymin=269.2779007554054, xmin=368.98199290037155, ymax=269.2779007554054, xmax=410.0638273358345, Width: width=930, Height: height=610, Position: x=389.522910118103, y=269.2779007554054, Rotation: r=1, Size: l=41.08183443546295, w=9.185004830360413
Class: wall, Score: 0.31, Coordinates: ymin=236.52028262615204, xmin=392.6841598749161, ymax=236.52028262615204, xmax=487.3943245410919, Width: width=930, Height: height=610, Position: x=440.039242208004, y=236.52028262615204, Rotation: r=1, Size: l=94.71016466617584, w=9.173551797866821
Class: wall, Score: 0.31, Coordinates: ymin=459.5459842681885, xmin=429.63556587696075, ymax=459.5459842681885, xmax=477.17881321907043, Width: width=930, Height: height=610, Position: x=453.4071895480156, y=459.5459842681885, Rotation: r=1, Size: l=47.54324734210968, w=9.21550989151001
Class: wall, Score: 0.30, Coordinates: ymin=235.78070759773254, xmin=533.003870844841, ymax=235.78070759773254, xmax=560.5470818281174, Width: width=930, Height: height=610, Position: x=546.7754763364792, y=235.78070759773254, Rotation: r=1, Size: l=27.543210983276367, w=9.58916962146759
Class: wall, Score: 0.30, Coordinates: ymin=469.9608266353607, xmin=246.59771382808685, ymax=469.9608266353607, xmax=306.06251299381256, Width: width=930, Height: height=610, Position: x=276.3301134109497, y=469.9608266353607, Rotation: r=1, Size: l=59.46479916572571, w=8.977141380310059
Class: wall, Score: 0.30, Coordinates: ymin=256.7245590686798, xmin=637.4482834339142, ymax=285.8700543642044, xmax=637.4482834339142, Width: width=930, Height: height=610, Position: x=637.4482834339142, y=271.2973067164421, Rotation: r=0, Size: l=29.145495295524597, w=9.632363319396973
Class: door, Score: 0.29, Coordinates: ymin=327.10780680179596, xmin=556.8918746709824, ymax=327.10780680179596, xmax=586.170671582222, Width: width=930, Height: height=610, Position: x=571.5312731266022, y=327.10780680179596, Rotation: r=1, Size: l=29.278796911239624, w=27.43179440498352
Class: window, Score: 0.29, Coordinates: ymin=58.59637297689915, xmin=453.9740404486656, ymax=58.59637297689915, xmax=496.31166636943817, Width: width=930, Height: height=610, Position: x=475.1428534090519, y=58.59637297689915, Rotation: r=1, Size: l=42.33762592077255, w=11.951357573270798
Class: wall, Score: 0.29, Coordinates: ymin=253.38478207588196, xmin=256.12181782722473, ymax=281.42195105552673, xmax=256.12181782722473, Width: width=930, Height: height=610, Position: x=256.12181782722473, y=267.40336656570435, Rotation: r=0, Size: l=28.037168979644775, w=9.124658703804016
Class: window, Score: 0.28, Coordinates: ymin=426.55376076698303, xmin=467.08547472953796, ymax=426.55376076698303, xmax=526.2878572940826, Width: width=930, Height: height=610, Position: x=496.6866660118103, y=426.55376076698303, Rotation: r=1, Size: l=59.20238256454468, w=11.982707977294922
Class: window, Score: 0.28, Coordinates: ymin=58.74462157487869, xmin=481.1764258146286, ymax=58.74462157487869, xmax=543.779359459877, Width: width=930, Height: height=610, Position: x=512.4778926372528, y=58.74462157487869, Rotation: r=1, Size: l=62.60293364524841, w=9.42780002951622
